"Part";"Value";"Device";"Package";"Description";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";
"FAN1";"";"MTA02-156";"1X2MTA";"AMP connector";"";"";"";
"FAN2";"";"MTA02-156";"1X2MTA";"AMP connector";"";"";"";
"FAN3";"";"MTA02-156";"1X2MTA";"AMP connector";"";"";"";
"FAN4";"";"MTA02-156";"1X2MTA";"AMP connector";"";"";"";
"LED1";"";"LED_ELD260";"LED_LD260";"LED";"NONE";"D";"diode";
"LED2";"";"LED_ELD260";"LED_LD260";"LED";"NONE";"D";"diode";
"LED3";"";"LED_ELD260";"LED_LD260";"LED";"NONE";"D";"diode";
"LED4";"";"LED_ELD260";"LED_LD260";"LED";"NONE";"D";"diode";
"MAIN";"";"MTA02-156";"1X2MTA";"AMP connector";"";"";"";
"NETSWT";"";"MTA02-156";"1X2MTA";"AMP connector";"";"";"";
"OLED1.1";"";"MTA04-156";"1X4MTA";"AMP connector";"";"";"";
"OLED1.2";"";"MTA04-156";"1X4MTA";"AMP connector";"";"";"";
"OLED2.1";"";"MTA04-156";"1X4MTA";"AMP connector";"";"";"";
"OLED2.2";"";"MTA04-156";"1X4MTA";"AMP connector";"";"";"";
"OLED3.1";"";"MTA04-156";"1X4MTA";"AMP connector";"";"";"";
"OLED3.2";"";"MTA04-156";"1X4MTA";"AMP connector";"";"";"";
"OLED4.1";"";"MTA04-156";"1X4MTA";"AMP connector";"";"";"";
"OLED4.2";"";"MTA04-156";"1X4MTA";"AMP connector";"";"";"";
"PI1";"";"MTA02-156";"1X2MTA";"AMP connector";"";"";"";
"PI2";"";"MTA02-156";"1X2MTA";"AMP connector";"";"";"";
"PI3";"";"MTA02-156";"1X2MTA";"AMP connector";"";"";"";
"PI4";"";"MTA02-156";"1X2MTA";"AMP connector";"";"";"";
"POWER";"";"MTA03-156";"1X3MTA";"AMP connector";"";"";"";
"SWTIN";"";"MTA05-156";"1X5MTA";"AMP connector";"";"";"";
